customer_id,signup_date,age,age group,gender,country,segment,is_churned,lifetime_value,email_opt_in,has_app
C00025,7/26/2021,35,Adult,Male,UK,Budget Shopper,0,502.96,1,0
C00026,3/22/2022,26,Young Adult,Male,DE,Regular,0,938.57,1,0
C00027,4/8/2024,22,Young Adult,Male,CA,Budget Shopper,1,352.48,1,1
C00028,3/2/2024,40,Adult,Male,US,Budget Shopper,0,549.13,1,1
C00029,5/11/2020,18,Teenager,Female,UK,Premium,0,4062.86,1,0
C00030,6/18/2023,44,Adult,Male,JP,Premium,0,2339.65,1,1
C00031,6/2/2024,40,Adult,Prefer not to say,UK,Occasional Visitor,1,654.77,1,1
C00032,12/8/2022,30,Adult,Female,US,Regular,0,899.47,1,0
C00033,10/9/2023,34,Adult,Male,US,Regular,0,1357.05,1,1
C00034,9/11/2022,20,Young Adult,Prefer not to say,UK,Regular,0,858.84,0,0
C00035,12/5/2021,44,Adult,Female,US,Budget Shopper,0,662.45,1,0
C00036,11/7/2022,37,Adult,Male,IN,Budget Shopper,1,295.4,1,0
C00037,7/15/2023,38,Adult,Male,JP,Regular,0,1152.89,1,1
C00038,5/22/2023,41,Adult,Female,JP,Budget Shopper,1,582.92,0,1
C00039,8/4/2020,27,Young Adult,Female,US,Premium,0,2857.47,1,1
C00040,4/12/2024,18,Teenager,Female,UK,Regular,0,1290.38,1,1
C00041,12/29/2020,46,Middle Age,Female,US,Premium,1,2559.62,1,0
C00042,11/12/2022,43,Adult,Female,US,Premium,0,3092.15,1,1
C00043,2/2/2022,28,Young Adult,Female,CA,Regular,0,827.48,1,1
C00044,3/21/2020,39,Adult,Female,US,Premium,0,2013.52,0,0
C00045,6/25/2023,50,Middle Age,Female,US,Premium,0,2158.17,1,0
C00046,1/22/2023,48,Middle Age,Male,IN,Regular,0,1507.97,1,0
C00047,10/1/2021,28,Young Adult,Female,AU,Budget Shopper,0,558.27,0,1
C00048,1/1/2020,18,Teenager,Male,BR,Premium,1,2809.16,0,1
C00049,6/14/2021,19,Teenager,Female,US,Budget Shopper,0,477.61,1,0
C00050,8/5/2021,31,Adult,Male,IN,Budget Shopper,0,602.1,1,0
C00051,3/27/2024,52,Middle Age,Female,US,Budget Shopper,1,306,0,1
C00052,7/25/2020,26,Young Adult,Male,US,Premium,0,2154.65,1,0
C00053,12/5/2022,27,Young Adult,Female,UK,Premium,0,2269.57,0,1
C00054,1/26/2023,27,Young Adult,Male,CA,Premium,0,2115.41,1,1
C00055,4/9/2022,28,Young Adult,Non-binary,UK,Premium,0,2207.24,1,1
C00056,11/13/2022,34,Adult,Male,AU,Regular,0,1250.39,1,0
C00057,1/7/2023,19,Teenager,Female,US,Regular,0,1165.55,0,1
C00058,2/2/2022,48,Middle Age,Female,BR,Budget Shopper,0,649.21,0,1
C00059,8/17/2023,33,Adult,Male,US,Budget Shopper,0,239.22,0,0
C00060,1/29/2023,64,Senior Citizen,Female,FR,Premium,0,3292.95,1,1
C00061,7/16/2023,20,Young Adult,Non-binary,BR,Regular,0,921.33,0,0
C00062,2/27/2024,54,Middle Age,Female,CA,Regular,0,1461.89,1,1
C00063,5/21/2020,51,Middle Age,Non-binary,IN,Premium,0,2149.48,1,1
C00064,4/19/2023,30,Adult,Male,DE,Regular,1,1201.62,0,1
C00065,6/29/2024,30,Adult,Non-binary,US,Regular,0,803.88,1,1
C00066,11/15/2022,23,Young Adult,Female,DE,Regular,1,765.56,1,1
C00067,4/16/2024,24,Young Adult,Female,DE,Regular,0,1259.81,0,1
C00068,3/21/2022,34,Adult,Female,US,Budget Shopper,0,166.99,0,1
C00069,2/19/2024,35,Adult,Female,UK,Regular,0,765.83,0,1
C00070,4/12/2024,18,Teenager,Female,US,Budget Shopper,0,595.84,1,1
C00071,3/6/2023,62,Senior Citizen,Female,US,Regular,1,986.05,0,1
C00072,6/18/2022,31,Adult,Male,MX,VIP,0,3897.25,1,0
C00073,10/30/2022,35,Adult,Female,JP,Budget Shopper,0,690.35,1,1
C00074,2/9/2022,27,Young Adult,Male,DE,Budget Shopper,0,734.3,1,0
C00075,11/16/2022,31,Adult,Female,US,Budget Shopper,0,500.05,0,0
C00076,5/13/2024,30,Adult,Female,US,Budget Shopper,0,659.22,1,1
C00077,1/20/2020,34,Adult,Male,US,Premium,0,3310.22,0,1
C00078,9/19/2021,34,Adult,Male,US,Regular,1,1095.51,1,1
C00079,9/29/2021,44,Adult,Male,AU,Premium,0,2092.67,1,0
C00080,3/9/2021,37,Adult,Female,UK,Premium,0,2453.23,1,0
C00081,3/7/2023,43,Adult,Male,UK,Regular,0,700.01,1,1
C00082,4/5/2021,34,Adult,Male,US,Premium,1,2740.77,1,0
C00083,4/21/2023,37,Adult,Male,BR,Budget Shopper,0,458.82,0,1
C00084,5/16/2021,32,Adult,Male,US,Budget Shopper,1,507.06,1,1
C00085,2/28/2022,47,Middle Age,Male,US,Budget Shopper,0,505.25,1,1
C00086,6/3/2022,38,Adult,Male,US,Premium,0,1891.49,1,0
C00087,8/25/2022,33,Adult,Female,US,Regular,0,1090.15,1,0
C00088,6/30/2023,32,Adult,Female,CA,Budget Shopper,0,330.08,1,0
C00089,3/23/2023,33,Adult,Prefer not to say,DE,Regular,1,967.35,1,1
C00090,2/24/2022,35,Adult,Male,CA,Budget Shopper,0,360.83,1,1
C00091,6/30/2021,34,Adult,Male,US,Premium,1,1874.02,1,1
C00092,5/15/2024,28,Young Adult,Male,JP,Regular,0,479.16,1,1
C00093,5/12/2024,44,Adult,Female,FR,Regular,1,981.95,0,1
C00094,2/15/2021,44,Adult,Male,BR,Regular,0,1233.52,1,0
C00095,9/19/2022,56,Middle Age,Male,US,Regular,0,1148.89,1,1
C00096,1/2/2021,27,Young Adult,Female,JP,Regular,0,1398.07,1,1
C00097,3/21/2023,42,Adult,Male,FR,Budget Shopper,0,380.91,1,1
C00098,2/11/2022,18,Teenager,Female,UK,Budget Shopper,1,440.16,1,1
C00099,7/4/2024,44,Adult,Female,US,Occasional Visitor,1,983.43,1,1
C00100,11/2/2022,18,Teenager,Female,US,VIP,0,4891.76,0,1
C00101,6/10/2021,23,Young Adult,Male,IN,Premium,0,2511,1,0
C00102,10/29/2023,38,Adult,Male,US,Budget Shopper,1,764.27,1,0
C00103,9/29/2024,27,Young Adult,Female,DE,Occasional Visitor,0,749.16,1,0
C00104,7/25/2021,25,Young Adult,Male,FR,Premium,0,2109.52,0,0
C00105,8/8/2020,29,Young Adult,Male,AU,Premium,0,1804.22,1,1
C00106,4/22/2023,43,Adult,Female,US,Regular,0,1020.47,0,0
C00107,1/18/2021,23,Young Adult,Male,BR,Budget Shopper,0,627.72,0,0
C00108,2/14/2024,34,Adult,Male,US,Budget Shopper,0,571.7,1,1
C00109,5/10/2021,30,Adult,Female,IN,VIP,0,6790.72,0,1
C00110,8/28/2023,44,Adult,Female,UK,Regular,0,1199.23,1,0
C00111,7/29/2023,45,Middle Age,Male,US,Budget Shopper,0,219.9,1,1
C00112,8/27/2022,18,Teenager,Female,US,Regular,0,1273,1,0
C00113,5/24/2024,47,Middle Age,Prefer not to say,AU,Regular,0,1128.67,1,1
C00114,10/14/2023,27,Young Adult,Male,CA,Budget Shopper,0,500.21,1,0
C00115,4/29/2020,37,Adult,Female,US,VIP,0,6522.79,1,1
C00116,9/9/2021,23,Young Adult,Male,US,Premium,0,2235.38,1,0
C00117,4/29/2023,39,Adult,Non-binary,DE,Premium,0,2747.8,0,1
C00118,11/4/2023,65,Senior Citizen,Male,US,Regular,1,803.9,1,1
C00119,8/3/2022,36,Adult,Male,US,Regular,0,682.48,1,1
C00120,3/31/2021,29,Young Adult,Prefer not to say,FR,Regular,0,935.33,1,0
C00121,12/27/2021,32,Adult,Female,US,Regular,0,1013.74,0,1
C00122,1/1/2023,18,Teenager,Male,US,Budget Shopper,1,568.5,1,0
C00123,3/31/2023,52,Middle Age,Female,UK,Regular,0,798.2,0,0
C00124,3/25/2024,38,Adult,Female,CA,Budget Shopper,0,688.37,1,1
C00125,4/29/2021,22,Young Adult,Female,CA,Regular,0,834.46,1,0
C00126,5/21/2022,22,Young Adult,Male,US,Regular,0,1075.76,1,0
C00127,12/14/2021,35,Adult,Male,UK,Budget Shopper,0,501.45,1,0
C00128,5/10/2024,46,Middle Age,Non-binary,US,Budget Shopper,0,537.41,1,0
C00129,7/31/2021,21,Young Adult,Male,UK,Regular,0,1223.97,0,1
C00130,10/9/2021,48,Middle Age,Male,US,Budget Shopper,0,782.76,1,0
C00131,1/15/2021,33,Adult,Male,US,VIP,0,4246.71,1,1
C00132,5/15/2021,23,Young Adult,Male,DE,Regular,0,1186,1,0
C00133,4/2/2023,29,Young Adult,Female,US,Regular,0,1077.02,1,1
C00134,11/1/2022,55,Middle Age,Male,JP,Regular,0,1370.3,1,0
C00135,12/13/2022,18,Teenager,Male,MX,Budget Shopper,0,556.11,1,1
C00136,11/7/2024,26,Young Adult,Male,US,Occasional Visitor,1,843.95,1,1
C00137,7/7/2022,46,Middle Age,Male,DE,Regular,0,689.2,1,0
C00138,2/1/2021,37,Adult,Male,DE,Premium,1,2128.12,1,0
C00139,4/25/2022,25,Young Adult,Male,US,Budget Shopper,0,377.93,1,0
C00140,10/19/2023,46,Middle Age,Female,US,Regular,0,977.03,1,1
C00141,11/6/2022,47,Middle Age,Male,MX,Regular,0,872.88,1,1
C00142,8/3/2020,38,Adult,Male,US,VIP,0,4352.27,1,0
C00143,5/31/2023,27,Young Adult,Female,CA,Regular,0,986.98,1,0
C00144,8/10/2023,29,Young Adult,Female,CA,Regular,0,991.78,1,0
C00145,11/15/2021,38,Adult,Female,US,Budget Shopper,0,463.22,0,0
C00146,12/12/2022,19,Teenager,Prefer not to say,CA,Regular,0,844.79,1,0
C00147,12/21/2022,50,Middle Age,Male,BR,Regular,0,1110.18,0,1
C00148,8/12/2021,55,Middle Age,Male,US,Regular,0,851.98,1,1
C00149,1/12/2021,32,Adult,Male,US,Budget Shopper,0,425.14,1,0
C00150,7/5/2022,39,Adult,Male,US,Premium,0,2369.89,0,1
C00151,2/24/2022,49,Middle Age,Prefer not to say,FR,VIP,0,1773.02,1,0
C00152,6/30/2023,58,Middle Age,Female,CA,Budget Shopper,0,811.44,1,1
C00153,4/27/2022,53,Middle Age,Female,UK,Regular,0,1244.31,0,0
C00154,10/20/2022,18,Teenager,Prefer not to say,AU,Budget Shopper,0,539.98,1,0
C00155,6/6/2023,31,Adult,Female,MX,Premium,0,2086.9,0,0
C00156,10/15/2021,41,Adult,Male,US,Budget Shopper,0,511.75,1,0
C00157,4/12/2022,29,Young Adult,Female,AU,Premium,0,1674.07,1,1
C00158,6/17/2020,56,Middle Age,Male,US,Premium,0,2694.14,1,0
C00159,3/24/2020,54,Middle Age,Male,US,Premium,0,1389.73,1,0
C00160,5/6/2024,25,Young Adult,Female,US,Budget Shopper,0,341.39,1,1
C00161,6/14/2020,33,Adult,Non-binary,US,VIP,0,4112.59,0,1
C00162,4/17/2023,26,Young Adult,Female,BR,Budget Shopper,0,688.74,1,0
C00163,10/19/2022,32,Adult,Male,UK,Budget Shopper,0,362.27,0,1
C00164,10/30/2023,32,Adult,Female,CA,Regular,0,1191.76,1,1
C00165,11/29/2022,46,Middle Age,Female,US,Regular,1,532.73,1,1
C00166,6/8/2022,24,Young Adult,Female,US,Premium,0,2414.89,0,1
C00167,2/14/2023,18,Teenager,Male,JP,Premium,0,3441.11,0,1
C00168,11/25/2023,18,Teenager,Male,IN,Regular,0,1237.57,1,0
C00169,7/22/2024,22,Young Adult,Male,UK,Occasional Visitor,0,385.38,0,1
C00170,7/27/2021,27,Young Adult,Female,US,Budget Shopper,0,505.44,1,0
C00171,8/5/2021,37,Adult,Prefer not to say,US,Regular,0,972.4,1,0
C00172,9/27/2022,22,Young Adult,Male,MX,Budget Shopper,1,653.3,1,0
C00173,4/20/2022,20,Young Adult,Male,US,VIP,0,4874.79,1,0
C00174,5/2/2023,23,Young Adult,Male,US,Budget Shopper,0,319.98,1,1
C00175,10/1/2023,21,Young Adult,Female,DE,Budget Shopper,0,482.96,0,1
C00176,5/12/2021,28,Young Adult,Female,JP,Regular,1,908.55,1,1
C00177,9/9/2023,27,Young Adult,Female,US,Occasional Visitor,0,367.96,1,1
C00178,7/10/2020,43,Adult,Male,AU,VIP,0,4782.19,0,0
C00179,11/21/2021,23,Young Adult,Male,US,Premium,1,2402.67,1,1
C00180,3/19/2022,30,Adult,Non-binary,DE,VIP,0,5476.66,1,1
C00181,5/27/2020,28,Young Adult,Female,US,VIP,0,6271.88,1,0
C00182,1/14/2024,44,Adult,Male,IN,Regular,0,1022.79,1,1
C00183,4/23/2023,33,Adult,Male,FR,Regular,0,687.15,0,1
C00184,8/17/2022,47,Middle Age,Male,JP,Premium,0,1897.99,1,0
C00185,2/16/2020,21,Young Adult,Male,UK,Premium,0,2388.83,1,0
C00186,1/9/2024,34,Adult,Male,BR,Regular,0,1434.19,1,1
C00187,5/23/2024,28,Young Adult,Female,CA,Budget Shopper,0,500.49,1,1
C00188,5/8/2023,20,Young Adult,Male,UK,Premium,0,2320.68,1,0
C00189,6/28/2021,34,Adult,Male,US,Budget Shopper,0,470.45,1,1
C00190,5/16/2021,55,Middle Age,Female,AU,VIP,0,4989.76,1,0
C00191,7/30/2022,24,Young Adult,Male,UK,Budget Shopper,1,738.81,1,1
C00192,5/29/2024,33,Adult,Female,CA,Budget Shopper,0,489.45,0,1
C00193,8/31/2022,19,Teenager,Female,DE,Premium,0,2241.85,1,0
C00194,9/11/2023,18,Teenager,Male,AU,Budget Shopper,0,504.78,1,0
C00195,6/23/2022,25,Young Adult,Female,CA,Budget Shopper,0,415.46,1,0
C00196,4/10/2024,29,Young Adult,Male,CA,Regular,1,670.64,1,0
C00197,3/19/2023,30,Adult,Male,CA,VIP,0,2825,1,0
C00198,10/27/2023,32,Adult,Male,CA,Budget Shopper,0,409.15,0,1
C00199,11/6/2023,18,Teenager,Female,UK,Regular,0,1424.84,1,1
C00200,4/11/2022,27,Young Adult,Male,AU,Premium,0,3100.25,1,0
C00201,7/26/2023,41,Adult,Female,AU,Occasional Visitor,0,576.8,1,0
C00202,12/30/2021,18,Teenager,Male,UK,Regular,0,1056.51,1,1
C00203,9/8/2023,30,Adult,Female,US,Budget Shopper,0,516.44,1,1
C00204,2/22/2022,38,Adult,Male,US,Budget Shopper,0,409.38,1,1
C00205,8/8/2021,25,Young Adult,Male,IN,Budget Shopper,0,663.59,1,0
C00206,4/23/2024,39,Adult,Female,BR,Budget Shopper,0,595.25,1,0
C00207,9/15/2021,18,Teenager,Male,US,Premium,0,2616.52,1,1
C00208,1/4/2024,45,Middle Age,Male,JP,Budget Shopper,0,508.56,1,1
C00209,12/29/2021,39,Adult,Female,US,Regular,1,670.17,0,0
C00210,4/3/2021,35,Adult,Female,BR,Premium,1,3214.18,1,1
C00211,3/15/2022,48,Middle Age,Female,JP,Regular,0,1259.64,1,0
C00212,7/13/2022,31,Adult,Male,UK,Budget Shopper,0,551.16,0,0
C00213,1/14/2021,27,Young Adult,Male,JP,Premium,0,1957.23,1,1
C00214,11/4/2022,51,Middle Age,Male,CA,Premium,0,2009.27,1,0
C00215,2/20/2021,57,Middle Age,Male,US,Premium,0,2696.73,1,0
C00216,7/18/2022,26,Young Adult,Male,AU,Budget Shopper,0,637.78,1,1
C00217,1/4/2024,33,Adult,Male,US,Budget Shopper,0,715.61,1,0
C00218,7/11/2021,47,Middle Age,Male,US,VIP,0,4080.79,1,0
C00219,1/14/2021,34,Adult,Female,US,Regular,0,1056.31,1,0
C00220,1/1/2021,42,Adult,Male,DE,Regular,0,524.06,0,1
C00221,7/11/2022,44,Adult,Male,FR,Regular,0,423.19,1,1
C00222,4/7/2022,28,Young Adult,Male,IN,Premium,0,2714.63,1,1
C00223,11/27/2024,40,Adult,Male,BR,Occasional Visitor,0,629.34,1,1
C00224,6/16/2021,34,Adult,Female,IN,Budget Shopper,0,253.35,1,1
C00225,11/23/2021,20,Young Adult,Male,DE,VIP,0,3546.3,1,1
C00226,1/4/2022,23,Young Adult,Male,BR,Budget Shopper,0,542.85,1,0
C00227,7/29/2022,27,Young Adult,Female,US,Regular,0,1205.58,1,1
C00228,7/19/2022,46,Middle Age,Male,FR,Regular,0,649.75,1,1
C00229,2/3/2022,46,Middle Age,Male,US,Budget Shopper,0,654.55,1,0
C00230,1/24/2021,43,Adult,Female,US,Budget Shopper,0,413.04,1,0
C00231,4/5/2021,40,Adult,Female,US,Regular,0,1175.6,0,1
C00232,3/29/2024,39,Adult,Non-binary,US,Occasional Visitor,1,807.53,1,0
C00233,10/14/2021,38,Adult,Female,JP,Regular,1,1096.82,0,1
C00234,2/21/2021,39,Adult,Female,UK,VIP,0,3828.83,0,0
C00235,4/25/2020,40,Adult,Male,BR,Premium,0,2385.41,1,0
C00236,3/5/2021,18,Teenager,Female,UK,Regular,0,1174.08,1,0
C00237,4/26/2021,25,Young Adult,Male,DE,Premium,0,2280.41,1,1
C00238,7/28/2021,22,Young Adult,Female,US,Budget Shopper,1,512.62,1,0
C00239,10/23/2021,48,Middle Age,Non-binary,JP,Budget Shopper,0,637.73,1,1
C00240,1/20/2021,54,Middle Age,Male,US,Premium,1,2117.25,1,1
C00241,1/6/2021,18,Teenager,Female,DE,Premium,0,2792.01,0,0
C00242,1/15/2021,53,Middle Age,Female,JP,Budget Shopper,0,473.7,1,0
C00243,5/30/2021,36,Adult,Male,AU,Regular,0,1491.75,0,1
C00244,4/27/2024,47,Middle Age,Female,IN,Regular,0,713.36,1,1
C00245,5/2/2022,41,Adult,Female,US,VIP,0,6629.76,1,1
C00246,6/7/2021,52,Middle Age,Male,UK,Regular,0,953.8,0,1
C00247,12/29/2021,37,Adult,Female,US,Regular,0,1680.74,1,1
C00248,5/4/2022,18,Teenager,Male,US,Regular,0,1219.7,1,1
C00249,3/1/2024,33,Adult,Male,US,Regular,0,1333.82,1,0
C00250,1/27/2023,41,Adult,Female,AU,Premium,1,2303.45,0,0
C00251,9/10/2022,32,Adult,Female,JP,VIP,0,5850.9,1,0
C00252,5/16/2021,42,Adult,Female,FR,Regular,0,1287.09,1,0
C00253,9/18/2022,34,Adult,Female,AU,Budget Shopper,0,482.2,0,0
C00254,9/10/2022,27,Young Adult,Female,UK,Budget Shopper,1,595.54,1,1
C00255,3/24/2022,21,Young Adult,Male,US,Premium,0,383.47,1,1
C00256,12/13/2022,30,Adult,Female,FR,Premium,0,2013.52,1,1
C00257,2/14/2022,37,Adult,Female,US,Budget Shopper,0,502.68,1,1
C00258,12/12/2022,18,Teenager,Male,UK,Budget Shopper,0,562.74,1,0
C00259,12/3/2021,25,Young Adult,Male,BR,Regular,0,1367.3,0,1
C00260,9/26/2021,18,Teenager,Female,US,Budget Shopper,0,468.41,0,1
C00261,2/3/2021,27,Young Adult,Prefer not to say,US,Premium,0,2165.73,1,0
C00262,7/28/2023,49,Middle Age,Prefer not to say,US,Regular,0,1339.67,1,0
C00263,7/13/2022,20,Young Adult,Female,FR,Budget Shopper,0,643.94,0,0
C00264,5/19/2022,43,Adult,Female,US,VIP,0,5924.83,1,1
C00265,6/1/2023,69,Senior Citizen,Female,DE,Budget Shopper,0,480.87,1,1
C00266,4/8/2022,52,Middle Age,Female,US,Budget Shopper,1,818.57,0,0
C00267,5/3/2024,36,Adult,Female,AU,Budget Shopper,0,509.92,1,1
C00268,3/1/2021,45,Middle Age,Non-binary,BR,Budget Shopper,0,527.05,0,0
C00269,2/19/2024,18,Teenager,Prefer not to say,US,Budget Shopper,1,704.12,1,1
C00270,1/11/2021,18,Teenager,Male,AU,Budget Shopper,0,691.01,1,0
C00271,5/3/2022,35,Adult,Prefer not to say,US,Budget Shopper,0,588.44,1,0
C00272,11/20/2023,39,Adult,Female,US,Budget Shopper,0,387.29,1,1
C00273,5/24/2023,48,Middle Age,Male,UK,Regular,0,1130.98,0,0
C00274,2/14/2021,28,Young Adult,Male,US,Premium,0,2710.46,1,1
C00275,2/5/2024,37,Adult,Female,MX,Regular,0,1636.82,1,0
C00276,6/25/2021,36,Adult,Male,AU,Regular,0,1911.18,1,0
C00277,5/6/2023,33,Adult,Male,BR,Regular,0,935.27,1,1
C00278,10/23/2021,34,Adult,Female,US,VIP,0,6065.83,1,1
C00279,9/21/2020,24,Young Adult,Male,FR,VIP,0,3981.26,1,1
C00280,3/20/2024,38,Adult,Male,CA,Budget Shopper,0,484.39,1,0
C00281,9/4/2023,37,Adult,Female,US,Budget Shopper,0,391.56,0,1
C00282,1/11/2021,29,Young Adult,Male,AU,Budget Shopper,0,708.65,1,0
C00283,4/21/2021,42,Adult,Female,IN,Budget Shopper,1,529.73,0,1
C00284,3/13/2021,47,Middle Age,Male,BR,Regular,0,1180.7,0,1
C00285,6/15/2022,43,Adult,Female,JP,Regular,0,1113.55,0,1
C00286,6/17/2022,22,Young Adult,Male,US,Budget Shopper,0,547.04,1,1
C00287,7/13/2023,36,Adult,Female,BR,Regular,0,1212.88,1,1
C00288,5/13/2023,24,Young Adult,Female,JP,Regular,0,911.57,1,1
C00289,1/20/2021,36,Adult,Female,DE,Budget Shopper,0,289.02,1,1
C00290,8/30/2021,24,Young Adult,Female,US,Premium,0,1603.55,0,0
C00291,9/29/2023,50,Middle Age,Female,UK,Budget Shopper,0,298.66,1,0
C00292,2/19/2023,44,Adult,Male,US,VIP,0,5243.64,0,1
C00293,1/8/2022,48,Middle Age,Female,US,Budget Shopper,0,397.94,1,0
C00294,2/26/2020,47,Middle Age,Female,BR,Premium,0,2988.06,1,1
C00295,7/14/2020,31,Adult,Female,MX,VIP,0,5300.83,0,1
C00296,12/14/2023,29,Young Adult,Male,BR,Occasional Visitor,0,432.92,0,0
C00297,7/19/2021,55,Middle Age,Female,US,Premium,0,2153.71,1,0
C00298,3/24/2021,33,Adult,Female,DE,Premium,0,1126.29,0,0
C00299,4/26/2021,18,Teenager,Female,UK,Regular,1,785.34,1,0
C00300,3/10/2021,47,Middle Age,Female,UK,Premium,0,2105.84,1,1
C00301,1/5/2022,36,Adult,Male,UK,Budget Shopper,0,381.83,1,0
C00302,9/15/2022,53,Middle Age,Female,JP,Regular,1,1618.35,1,0
C00303,4/12/2021,37,Adult,Male,AU,Regular,0,1305.92,0,0
C00304,10/5/2022,34,Adult,Female,IN,VIP,0,4590.22,1,0
C00305,6/17/2022,53,Middle Age,Female,US,Regular,1,1492.39,1,1
C00306,2/10/2022,18,Teenager,Male,UK,Regular,0,832.02,1,0
C00307,3/2/2024,27,Young Adult,Male,CA,Regular,0,1008.65,0,0
C00308,8/8/2023,24,Young Adult,Female,DE,Budget Shopper,0,606.74,1,1
C00309,6/24/2021,18,Teenager,Female,BR,Budget Shopper,0,360.55,1,1
C00310,7/6/2021,45,Middle Age,Male,US,Regular,0,1288.38,1,0
C00311,1/3/2021,28,Young Adult,Male,US,Regular,0,1180.52,0,1
C00312,12/17/2022,45,Middle Age,Male,BR,Budget Shopper,1,573.51,0,0
C00313,3/29/2022,39,Adult,Female,UK,Regular,0,1594.29,1,0
C00314,4/24/2022,42,Adult,Male,CA,Regular,1,1225.27,1,0
C00315,10/12/2022,29,Young Adult,Female,BR,Regular,0,1134.66,1,1
C00316,11/20/2022,25,Young Adult,Female,FR,Regular,0,688.23,1,0
C00317,1/2/2020,36,Adult,Female,FR,Premium,0,2526.17,0,1
C00318,5/18/2021,46,Middle Age,Prefer not to say,US,Budget Shopper,0,440.01,1,1
C00319,10/3/2022,34,Adult,Female,DE,VIP,0,4846.09,1,0
C00320,5/1/2023,26,Young Adult,Female,UK,VIP,0,4408.21,1,1
C00321,12/5/2023,20,Young Adult,Female,CA,Regular,0,1235.17,1,1
C00322,3/2/2024,37,Adult,Female,CA,Regular,0,827.58,1,1
C00323,8/15/2022,28,Young Adult,Female,US,Regular,1,1158.31,1,1
C00324,11/20/2022,34,Adult,Male,US,Premium,0,1775.06,1,0
C00325,1/30/2023,32,Adult,Prefer not to say,UK,Premium,0,1320.76,1,1
C00326,2/13/2023,29,Young Adult,Male,UK,Premium,0,2194.96,1,0
C00327,7/10/2021,38,Adult,Prefer not to say,US,Regular,0,1227.57,1,0
C00328,7/7/2021,41,Adult,Male,BR,Regular,0,886.33,1,0
C00329,5/29/2022,58,Middle Age,Female,US,Budget Shopper,0,517.07,1,1
C00330,10/4/2021,44,Adult,Prefer not to say,UK,Premium,0,2182.21,1,0
C00331,5/7/2024,54,Middle Age,Female,DE,Budget Shopper,0,370.57,1,1
C00332,2/9/2021,25,Young Adult,Female,FR,Premium,0,2734.38,1,0
C00333,11/27/2022,18,Teenager,Male,US,VIP,0,4185.84,1,0
C00334,2/7/2024,34,Adult,Male,US,Budget Shopper,0,546.83,0,1
C00335,5/16/2024,45,Middle Age,Male,US,Regular,0,698.45,1,1
C00336,8/30/2021,43,Adult,Female,US,Budget Shopper,1,517.1,1,0
C00337,11/4/2020,49,Middle Age,Male,US,Premium,0,2774.32,0,1
C00338,10/8/2021,18,Teenager,Male,CA,Budget Shopper,0,543.97,0,1
C00339,7/27/2022,50,Middle Age,Male,CA,VIP,0,6115.68,1,1
C00340,5/27/2023,39,Adult,Non-binary,US,Budget Shopper,0,580.69,1,0
C00341,1/22/2024,18,Teenager,Female,DE,Occasional Visitor,0,859.84,1,0
C00342,4/23/2020,43,Adult,Male,US,Premium,0,2907.61,1,1
C00343,10/27/2022,37,Adult,Prefer not to say,BR,Regular,0,997.22,1,1
C00344,7/23/2022,39,Adult,Female,CA,Premium,0,2712.77,1,0
C00345,8/28/2021,46,Middle Age,Male,CA,Premium,1,2413.07,1,1
C00346,12/8/2020,40,Adult,Male,US,VIP,0,7313.27,1,0
